deliverable,priority,start_date,end_date,team,type
1st Big Client,500,2/11/14,6/1/14,BRCK,core
1st BRCK Shipped,400,2/11/14,4/15/14,BRCK,core
Full hardware and software extensability,250,2/11/14,5/15/14,BRCK,core
Full seed funding,1000,1/1/14,2/28/14,BRCK,core
IP66 version 2,750,2/11/14,8/15/14,BRCK,core
Volume Production,250,2/11/14,6/30/14,BRCK,core
Dev Community,1000,2/11/14,12/1/14,CrisisNet,external
Full release V1,500,2/11/14,10/1/14,CrisisNet,external
Marketing Release,100,2/11/14,4/1/14,CrisisNet,external
Another major external project,250,2/11/14,6/1/14,Crowdmap,core
O Auth,500,2/11/14,9/1/14,Crowdmap,core
Scaling and Optimisation,1000,2/11/14,5/1/14,Crowdmap,core
SDK Launched and Marketed,2000,2/11/14,8/1/14,Crowdmap,core
UI Redesign,100,1/1/14,3/1/14,Crowdmap,core
VIP,250,2/11/14,8/15/14,Crowdmap,core
Api Set up,100,2/11/14,12/15/14,External Projects,external
Crisis Preparedness,100,2/11/14,6/1/14,External Projects,external
Google Platform Code ,250,2/11/14,10/1/14,External Projects,external
Google Project,2000,2/11/14,4/1/14,External Projects,external
Google Project-Completed API,400,2/11/14,7/1/14,External Projects,external
IFES Election Launch V3,1000,2/11/14,6/1/14,External Projects,external
IFES First V3 version,100,2/11/14,4/15/14,External Projects,external
IFES V3 testing version,100,2/11/14,5/1/14,External Projects,external
Open Explorer ,100,2/11/14,5/15/14,External Projects,external
Peace Earth,1000,2/11/14,5/1/14,External Projects,external
UN project 1st design deliverable,750,2/11/14,5/15/14,External Projects,external
UN Project Closed,400,2/11/14,8/30/14,External Projects,external
World Vision,800,2/11/14,3/31/14,External Projects,external
Global Innovation Competition,1000,2/11/14,3/1/14,MAVC,external
Granting,500,2/11/14,5/2/14,MAVC,external
New strategy,100,2/11/14,3/31/14,MAVC,external
Staffing,250,2/11/14,8/15/14,MAVC,external
70/30 time,100,2/11/14,6/30/14,Operations,ops
Awesome team retreat figured out,100,2/11/14,11/1/14,Operations,ops
Finalized Onboarding process,400,2/11/14,3/31/14,Operations,ops
Fix the business card process,200,2/11/14,2/27/14,Operations,ops
Improved Simpler Communication,600,2/11/14,10/1/14,Operations,ops
Intergrate the lopad into team calls,400,2/11/14,2/16/14,Operations,ops
Managing HR Partner,1000,2/11/14,7/14/14,Operations,ops
Procedure Manual,400,2/11/14,3/29/14,Operations,ops
Review Process design and implemented,100,2/11/14,8/15/14,Operations,ops
Timely Financial Reporting,750,2/11/14,4/7/14,Operations,ops
5 Cities Chosen,750,2/11/14,6/30/14,RRI,external
Full Scope of CRO,2000,2/11/14,12/15/14,RRI,external
Scoping with each city CRO,100,2/11/14,9/30/14,RRI,external
1st Migration Deployment,400,2/11/14,11/30/14,V3,core
1st real deployment,2000,2/11/14,9/1/14,V3,core
3.0 Launch,100,2/11/14,7/30/14,V3,core
BETA,250,2/11/14,4/5/14,V3,core
Documentation,400,2/11/14,5/1/14,V3,core
